2025-05-28 00:18:33,501 INFO  SumoAmbassador - Adding new vehicle "veh_37" at simulation time 190142857130 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:33,503 INFO  SimulationFacade - Removed vehicle "veh_21" at simulation time 192000000000ns
2025-05-28 00:18:33,600 INFO  SimulationFacade - Removed vehicle "veh_23" at simulation time 193000000000ns
2025-05-28 00:18:33,781 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:33,781 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:33,783 ERROR SumoAmbassador - Process sumo: Warning: Vehicle 'veh_24' performs emergency stop at the end of lane '37843944_443800955_443800958_0' because of a red traffic light (decel=-6.47, offset=0.91), time=194.00.
2025-05-28 00:18:33,875 INFO  SimulationFacade - Removed vehicle "veh_27" at simulation time 196000000000ns
2025-05-28 00:18:34,165 INFO  SimulationFacade - Removed vehicle "veh_25" at simulation time 199000000000ns
2025-05-28 00:18:34,165 INFO  SimulationFacade - Removed vehicle "veh_29" at simulation time 199000000000ns
2025-05-28 00:18:34,254 INFO  SimulationFacade - Removed vehicle "veh_4" at simulation time 200000000000ns
2025-05-28 00:18:34,336 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_38" received at simulation time 200428571415 ns (subscribe=true)
2025-05-28 00:18:34,336 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_39" received at simulation time 200428571415 ns (subscribe=true)
2025-05-28 00:18:34,419 INFO  SumoAmbassador - Adding new vehicle "veh_38" at simulation time 200428571415 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:34,420 INFO  SumoAmbassador - Adding new vehicle "veh_39" at simulation time 200428571415 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:34,773 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:34,773 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-05-28 00:18:35,133 INFO  SimulationFacade - Removed vehicle "veh_2" at simulation time 210000000000ns
2025-05-28 00:18:35,216 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_40" received at simulation time 210714285700 ns (subscribe=true)
2025-05-28 00:18:35,216 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_41" received at simulation time 210714285700 ns (subscribe=true)
2025-05-28 00:18:35,305 INFO  SumoAmbassador - Adding new vehicle "veh_40" at simulation time 210714285700 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:35,305 INFO  SumoAmbassador - Adding new vehicle "veh_41" at simulation time 210714285700 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:35,307 INFO  SimulationFacade - Removed vehicle "veh_6" at simulation time 212000000000ns
2025-05-28 00:18:35,556 INFO  SimulationFacade - Removed vehicle "veh_0" at simulation time 215000000000ns
2025-05-28 00:18:35,628 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:35,628 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:36,022 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_42" received at simulation time 220999999985 ns (subscribe=true)
2025-05-28 00:18:36,022 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_43" received at simulation time 220999999985 ns (subscribe=true)
2025-05-28 00:18:36,100 INFO  SumoAmbassador - Adding new vehicle "veh_42" at simulation time 220999999985 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:36,101 INFO  SumoAmbassador - Adding new vehicle "veh_43" at simulation time 220999999985 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:36,801 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:36,801 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:18:36,988 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_44" received at simulation time 231285714270 ns (subscribe=true)
2025-05-28 00:18:36,988 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_45" received at simulation time 231285714270 ns (subscribe=true)
2025-05-28 00:18:36,989 INFO  SimulationFacade - Removed vehicle "veh_33" at simulation time 232000000000ns
2025-05-28 00:18:37,080 INFO  SumoAmbassador - Adding new vehicle "veh_44" at simulation time 231285714270 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:37,081 INFO  SumoAmbassador - Adding new vehicle "veh_45" at simulation time 231285714270 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:37,174 INFO  SimulationFacade - Removed vehicle "veh_31" at simulation time 234000000000ns
2025-05-28 00:18:37,725 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:37,725 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:37,726 ERROR SumoAmbassador - Process sumo: Warning: Vehicle 'veh_40' performs emergency stop at the end of lane '37843944_443800955_443800958_0' because of a red traffic light (decel=-8.05, offset=2.03), time=239.00.
2025-05-28 00:18:37,726 INFO  SumoAmbassador - Process sumo: Step #200.00 (0ms ?*RT. ?UPS, TraCI: 82ms, vehicles TOT 38 ACT 22 BUF 0)                  
2025-05-28 00:18:37,916 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_46" received at simulation time 241571428555 ns (subscribe=true)
2025-05-28 00:18:37,916 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_47" received at simulation time 241571428555 ns (subscribe=true)
2025-05-28 00:18:38,010 INFO  SumoAmbassador - Adding new vehicle "veh_46" at simulation time 241571428555 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:38,011 INFO  SumoAmbassador - Adding new vehicle "veh_47" at simulation time 241571428555 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:38,829 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:38,829 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-05-28 00:18:38,931 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_48" received at simulation time 251857142840 ns (subscribe=true)
2025-05-28 00:18:38,931 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_49" received at simulation time 251857142840 ns (subscribe=true)
2025-05-28 00:18:39,038 INFO  SumoAmbassador - Adding new vehicle "veh_48" at simulation time 251857142840 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:39,038 INFO  SumoAmbassador - Adding new vehicle "veh_49" at simulation time 251857142840 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:39,957 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:39,957 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:40,196 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_50" received at simulation time 262142857125 ns (subscribe=true)
2025-05-28 00:18:40,196 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_51" received at simulation time 262142857125 ns (subscribe=true)
2025-05-28 00:18:40,197 INFO  SimulationFacade - Removed vehicle "veh_10" at simulation time 263000000000ns
2025-05-28 00:18:40,306 INFO  SumoAmbassador - Adding new vehicle "veh_50" at simulation time 262142857125 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:40,307 INFO  SumoAmbassador - Adding new vehicle "veh_51" at simulation time 262142857125 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:40,775 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:40,775 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:18:40,897 INFO  SimulationFacade - Removed vehicle "veh_8" at simulation time 269000000000ns
2025-05-28 00:18:41,016 INFO  SimulationFacade - Removed vehicle "veh_18" at simulation time 270000000000ns
2025-05-28 00:18:41,319 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_52" received at simulation time 272428571410 ns (subscribe=true)
2025-05-28 00:18:41,319 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_53" received at simulation time 272428571410 ns (subscribe=true)
2025-05-28 00:18:41,422 INFO  SumoAmbassador - Adding new vehicle "veh_52" at simulation time 272428571410 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:41,423 INFO  SumoAmbassador - Adding new vehicle "veh_53" at simulation time 272428571410 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:41,537 INFO  SimulationFacade - Removed vehicle "veh_14" at simulation time 275000000000ns
2025-05-28 00:18:41,537 INFO  SimulationFacade - Removed vehicle "veh_22" at simulation time 275000000000ns
2025-05-28 00:18:41,730 INFO  SimulationFacade - Removed vehicle "veh_20" at simulation time 277000000000ns
2025-05-28 00:18:41,813 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:41,813 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:41,903 INFO  SimulationFacade - Removed vehicle "veh_16" at simulation time 279000000000ns
2025-05-28 00:18:41,991 INFO  SimulationFacade - Removed vehicle "veh_35" at simulation time 280000000000ns
2025-05-28 00:18:42,072 INFO  SimulationFacade - Removed vehicle "veh_12" at simulation time 281000000000ns
2025-05-28 00:18:42,219 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_54" received at simulation time 282714285695 ns (subscribe=true)
2025-05-28 00:18:42,219 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_55" received at simulation time 282714285695 ns (subscribe=true)
2025-05-28 00:18:42,294 INFO  SumoAmbassador - Adding new vehicle "veh_54" at simulation time 282714285695 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:42,294 INFO  SumoAmbassador - Adding new vehicle "veh_55" at simulation time 282714285695 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:42,296 INFO  SimulationFacade - Removed vehicle "veh_39" at simulation time 284000000000ns
2025-05-28 00:18:42,373 INFO  SimulationFacade - Removed vehicle "veh_45" at simulation time 285000000000ns
2025-05-28 00:18:42,442 INFO  SimulationFacade - Removed vehicle "veh_37" at simulation time 286000000000ns
2025-05-28 00:18:42,576 INFO  SimulationFacade - Removed vehicle "veh_41" at simulation time 288000000000ns
2025-05-28 00:18:42,643 INFO  SimulationFacade - Removed vehicle "veh_43" at simulation time 289000000000ns
2025-05-28 00:18:42,778 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:42,778 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:18:42,916 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_56" received at simulation time 292999999980 ns (subscribe=true)
