2025-06-04 15:01:56,880 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:56,880 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-06-04 15:01:56,944 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:56,944 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-06-04 15:01:56,945 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_24" received at simulation time 128428571420 ns (subscribe=true)
2025-06-04 15:01:56,945 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_25" received at simulation time 128428571420 ns (subscribe=true)
2025-06-04 15:01:56,961 INFO  SumoAmbassador - Adding new vehicle "veh_24" at simulation time 128428571420 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:56,962 INFO  SumoAmbassador - Adding new vehicle "veh_25" at simulation time 128428571420 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:57,073 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:57,073 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-06-04 15:01:57,077 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_26" received at simulation time 138714285705 ns (subscribe=true)
2025-06-04 15:01:57,077 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_27" received at simulation time 138714285705 ns (subscribe=true)
2025-06-04 15:01:57,091 INFO  SumoAmbassador - Adding new vehicle "veh_26" at simulation time 138714285705 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:57,092 INFO  SumoAmbassador - Adding new vehicle "veh_27" at simulation time 138714285705 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:57,484 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_28" received at simulation time 148999999990 ns (subscribe=true)
2025-06-04 15:01:57,484 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_29" received at simulation time 148999999990 ns (subscribe=true)
2025-06-04 15:01:57,503 INFO  SumoAmbassador - Adding new vehicle "veh_28" at simulation time 148999999990 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:57,504 INFO  SumoAmbassador - Adding new vehicle "veh_29" at simulation time 148999999990 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:57,657 INFO  SimulationFacade - Removed vehicle "veh_5" at simulation time 156000000000ns
2025-06-04 15:01:57,684 INFO  SimulationFacade - Removed vehicle "veh_7" at simulation time 158000000000ns
2025-06-04 15:01:57,698 INFO  SimulationFacade - Removed vehicle "veh_9" at simulation time 159000000000ns
2025-06-04 15:01:57,710 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_30" received at simulation time 159285714275 ns (subscribe=true)
2025-06-04 15:01:57,710 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_31" received at simulation time 159285714275 ns (subscribe=true)
2025-06-04 15:01:57,711 INFO  SimulationFacade - Removed vehicle "veh_11" at simulation time 160000000000ns
2025-06-04 15:01:57,723 INFO  SumoAmbassador - Adding new vehicle "veh_30" at simulation time 159285714275 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:57,723 INFO  SumoAmbassador - Adding new vehicle "veh_31" at simulation time 159285714275 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:57,725 INFO  SimulationFacade - Removed vehicle "veh_4" at simulation time 161000000000ns
2025-06-04 15:01:57,740 INFO  SimulationFacade - Removed vehicle "veh_13" at simulation time 162000000000ns
2025-06-04 15:01:57,761 INFO  SimulationFacade - Removed vehicle "veh_15" at simulation time 164000000000ns
2025-06-04 15:01:57,761 INFO  SimulationFacade - Removed vehicle "veh_17" at simulation time 164000000000ns
2025-06-04 15:01:57,783 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:57,783 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-06-04 15:01:57,785 INFO  SimulationFacade - Removed vehicle "veh_19" at simulation time 166000000000ns
2025-06-04 15:01:57,785 INFO  SimulationFacade - Removed vehicle "veh_21" at simulation time 166000000000ns
2025-06-04 15:01:57,898 INFO  SimulationFacade - Removed vehicle "veh_23" at simulation time 168000000000ns
2025-06-04 15:01:57,909 INFO  SimulationFacade - Removed vehicle "veh_2" at simulation time 169000000000ns
2025-06-04 15:01:57,918 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_32" received at simulation time 169571428560 ns (subscribe=true)
2025-06-04 15:01:57,918 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_33" received at simulation time 169571428560 ns (subscribe=true)
2025-06-04 15:01:57,928 INFO  SumoAmbassador - Adding new vehicle "veh_32" at simulation time 169571428560 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:57,929 INFO  SumoAmbassador - Adding new vehicle "veh_33" at simulation time 169571428560 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:57,956 INFO  SimulationFacade - Removed vehicle "veh_10" at simulation time 173000000000ns
2025-06-04 15:01:57,967 INFO  SimulationFacade - Removed vehicle "veh_0" at simulation time 174000000000ns
