2025-06-06 16:07:50,459 INFO  - Sent ACK to veh_6 (at simulation time 72.002,400,000 s)
2025-06-06 16:07:50,459 INFO  - Received GreenWaveMsg from veh_7 on route r_1 with speed 0.0 (at simulation time 72.002,400,000 s)
2025-06-06 16:07:50,459 INFO  - Sent ACK to veh_7 (at simulation time 72.002,400,000 s)
2025-06-06 16:07:50,465 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 4.6432657965552 (at simulation time 73.001,900,000 s)
2025-06-06 16:07:50,465 INFO  - Sent ACK to veh_11 (at simulation time 73.001,900,000 s)
2025-06-06 16:07:50,465 INFO  - Received GreenWaveMsg from veh_9 on route r_1 with speed 0.0 (at simulation time 73.002,400,000 s)
2025-06-06 16:07:50,465 INFO  - Sent program 2 to TrafficLight (at simulation time 73.002,400,000 s)
2025-06-06 16:07:50,465 INFO  - Sent ACK to veh_9 (at simulation time 73.002,400,000 s)
2025-06-06 16:07:50,489 INFO  - Received GreenWaveMsg from veh_6 on route r_0 with speed 0.0 (at simulation time 77.001,400,000 s)
2025-06-06 16:07:50,489 INFO  - Sent ACK to veh_6 (at simulation time 77.001,400,000 s)
2025-06-06 16:07:50,489 INFO  - Ignored message from veh_7 (distance 17.53 > 15.0) (at simulation time 77.002,400,000 s)
2025-06-06 16:07:50,504 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.34223188362389456 (at simulation time 78.001,900,000 s)
2025-06-06 16:07:50,504 INFO  - Sent ACK to veh_11 (at simulation time 78.001,900,000 s)
2025-06-06 16:07:50,504 INFO  - Received GreenWaveMsg from veh_8 on route r_0 with speed 6.928959217649857 (at simulation time 78.002,400,000 s)
2025-06-06 16:07:50,504 INFO  - Sent ACK to veh_8 (at simulation time 78.002,400,000 s)
2025-06-06 16:07:50,514 INFO  - Sent aggregated data: r_0=2 (3.46 m/s), r_1=1 (0.34 m/s) (at simulation time 80.000,000,000 s)
2025-06-06 16:07:50,518 INFO  - Forwarded metrics to vehicles: avgR0=0.875, avgR1=1.0 (at simulation time 80.003,300,000 s)
2025-06-06 16:07:50,529 INFO  - Received GreenWaveMsg from veh_6 on route r_0 with speed 0.0 (at simulation time 82.000,400,000 s)
2025-06-06 16:07:50,529 INFO  - Sent ACK to veh_6 (at simulation time 82.000,400,000 s)
2025-06-06 16:07:50,535 INFO  - Received GreenWaveMsg from veh_8 on route r_0 with speed 0.0037418159832787257 (at simulation time 83.000,400,000 s)
2025-06-06 16:07:50,535 INFO  - Sent ACK to veh_8 (at simulation time 83.000,400,000 s)
2025-06-06 16:07:50,535 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 1.0985655348655308E-4 (at simulation time 83.001,900,000 s)
2025-06-06 16:07:50,535 INFO  - Sent ACK to veh_11 (at simulation time 83.001,900,000 s)
2025-06-06 16:07:50,536 INFO  - TrafficLight   set to REd. (at simulation time 83.006,700,000 s)
2025-06-06 16:07:50,561 INFO  - Received GreenWaveMsg from veh_6 on route r_0 with speed 0.0 (at simulation time 87.000,400,000 s)
2025-06-06 16:07:50,561 INFO  - Sent ACK to veh_6 (at simulation time 87.000,400,000 s)
2025-06-06 16:07:50,569 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.31380329093098847 (at simulation time 88.000,900,000 s)
2025-06-06 16:07:50,569 INFO  - Sent ACK to veh_13 (at simulation time 88.000,900,000 s)
2025-06-06 16:07:50,569 INFO  - Received GreenWaveMsg from veh_10 on route r_0 with speed 0.7401825604409638 (at simulation time 88.001,400,000 s)
2025-06-06 16:07:50,569 INFO  - Sent program 0 to TrafficLight (at simulation time 88.001,400,000 s)
2025-06-06 16:07:50,569 INFO  - Sent ACK to veh_10 (at simulation time 88.001,400,000 s)
2025-06-06 16:07:50,569 INFO  - Received GreenWaveMsg from veh_8 on route r_0 with speed 0.0 (at simulation time 88.001,900,000 s)
2025-06-06 16:07:50,569 INFO  - Sent ACK to veh_8 (at simulation time 88.001,900,000 s)
2025-06-06 16:07:50,570 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 88.002,400,000 s)
2025-06-06 16:07:50,570 INFO  - Sent ACK to veh_11 (at simulation time 88.002,400,000 s)
2025-06-06 16:07:50,591 INFO  - Sent aggregated data: r_0=1 (0.00 m/s), r_1=2 (0.16 m/s) (at simulation time 90.000,000,000 s)
2025-06-06 16:07:50,595 INFO  - Forwarded metrics to vehicles: avgR0=0.8888888888888888, avgR1=1.1111111111111112 (at simulation time 90.004,800,000 s)
2025-06-06 16:07:50,608 INFO  - Received GreenWaveMsg from veh_6 on route r_0 with speed 6.331710321316496 (at simulation time 92.002,400,000 s)
2025-06-06 16:07:50,608 INFO  - Sent ACK to veh_6 (at simulation time 92.002,400,000 s)
2025-06-06 16:07:50,614 INFO  - Received GreenWaveMsg from veh_10 on route r_0 with speed 6.481958683126137 (at simulation time 93.000,400,000 s)
2025-06-06 16:07:50,614 INFO  - Sent ACK to veh_10 (at simulation time 93.000,400,000 s)
2025-06-06 16:07:50,614 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 93.002,400,000 s)
2025-06-06 16:07:50,614 INFO  - Sent ACK to veh_11 (at simulation time 93.002,400,000 s)
2025-06-06 16:07:50,614 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.0 (at simulation time 93.002,400,000 s)
2025-06-06 16:07:50,614 INFO  - Sent ACK to veh_13 (at simulation time 93.002,400,000 s)
2025-06-06 16:07:50,648 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 98.000,400,000 s)
2025-06-06 16:07:50,648 INFO  - Sent ACK to veh_11 (at simulation time 98.000,400,000 s)
2025-06-06 16:07:50,649 INFO  - Received GreenWaveMsg from veh_15 on route r_1 with speed 0.03708955037269386 (at simulation time 98.001,900,000 s)
2025-06-06 16:07:50,649 INFO  - Sent ACK to veh_15 (at simulation time 98.001,900,000 s)
2025-06-06 16:07:50,650 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.0 (at simulation time 98.002,400,000 s)
2025-06-06 16:07:50,650 INFO  - Sent ACK to veh_13 (at simulation time 98.002,400,000 s)
2025-06-06 16:07:50,650 INFO  - TrafficLight   set to REd. (at simulation time 98.002,700,000 s)
2025-06-06 16:07:50,667 INFO  - Sent aggregated data: r_0=2 (6.41 m/s), r_1=3 (0.01 m/s) (at simulation time 100.000,000,000 s)
2025-06-06 16:07:50,673 INFO  - Forwarded metrics to vehicles: avgR0=1.0, avgR1=1.3 (at simulation time 100.002,800,000 s)
2025-06-06 16:07:50,695 INFO  - Received GreenWaveMsg from veh_12 on route r_0 with speed 4.1521021621799905 (at simulation time 103.000,400,000 s)
2025-06-06 16:07:50,695 INFO  - Sent ACK to veh_12 (at simulation time 103.000,400,000 s)
2025-06-06 16:07:50,695 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.0 (at simulation time 103.000,400,000 s)
2025-06-06 16:07:50,695 INFO  - Sent ACK to veh_13 (at simulation time 103.000,400,000 s)
2025-06-06 16:07:50,696 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 103.002,400,000 s)
2025-06-06 16:07:50,696 INFO  - Sent ACK to veh_11 (at simulation time 103.002,400,000 s)
2025-06-06 16:07:50,696 INFO  - Received GreenWaveMsg from veh_15 on route r_1 with speed 0.0 (at simulation time 103.002,400,000 s)
2025-06-06 16:07:50,696 INFO  - Sent program 2 to TrafficLight (at simulation time 103.002,400,000 s)
2025-06-06 16:07:50,696 INFO  - Sent ACK to veh_15 (at simulation time 103.002,400,000 s)
2025-06-06 16:07:50,703 INFO  - Received GreenWaveMsg from veh_17 on route r_1 with speed 5.308032923448209 (at simulation time 104.001,400,000 s)
2025-06-06 16:07:50,703 INFO  - Sent ACK to veh_17 (at simulation time 104.001,400,000 s)
2025-06-06 16:07:50,727 INFO  - Received GreenWaveMsg from veh_15 on route r_1 with speed 0.0 (at simulation time 108.000,400,000 s)
2025-06-06 16:07:50,727 INFO  - Sent ACK to veh_15 (at simulation time 108.000,400,000 s)
2025-06-06 16:07:50,727 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 108.001,900,000 s)
2025-06-06 16:07:50,727 INFO  - Sent ACK to veh_11 (at simulation time 108.001,900,000 s)
2025-06-06 16:07:50,727 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.0 (at simulation time 108.001,900,000 s)
2025-06-06 16:07:50,727 INFO  - Sent ACK to veh_13 (at simulation time 108.001,900,000 s)
2025-06-06 16:07:50,738 INFO  - Received GreenWaveMsg from veh_17 on route r_1 with speed 2.269178119768382E-4 (at simulation time 109.001,900,000 s)
2025-06-06 16:07:50,738 INFO  - Sent ACK to veh_17 (at simulation time 109.001,900,000 s)
