2025-05-28 00:33:27,751 INFO  SumoAmbassador - Adding new vehicle "veh_24" at simulation time 128428571420 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:27,751 INFO  SumoAmbassador - Adding new vehicle "veh_25" at simulation time 128428571420 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:27,809 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:27,809 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:33:28,260 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_26" received at simulation time 138714285705 ns (subscribe=true)
2025-05-28 00:33:28,260 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_27" received at simulation time 138714285705 ns (subscribe=true)
2025-05-28 00:33:28,318 INFO  SumoAmbassador - Adding new vehicle "veh_26" at simulation time 138714285705 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:28,319 INFO  SumoAmbassador - Adding new vehicle "veh_27" at simulation time 138714285705 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:28,943 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_28" received at simulation time 148999999990 ns (subscribe=true)
2025-05-28 00:33:28,943 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_29" received at simulation time 148999999990 ns (subscribe=true)
2025-05-28 00:33:29,010 INFO  SumoAmbassador - Adding new vehicle "veh_28" at simulation time 148999999990 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:29,011 INFO  SumoAmbassador - Adding new vehicle "veh_29" at simulation time 148999999990 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:29,165 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:29,165 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-05-28 00:33:29,811 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_30" received at simulation time 159285714275 ns (subscribe=true)
2025-05-28 00:33:29,811 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_31" received at simulation time 159285714275 ns (subscribe=true)
2025-05-28 00:33:29,895 INFO  SumoAmbassador - Adding new vehicle "veh_30" at simulation time 159285714275 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:29,895 INFO  SumoAmbassador - Adding new vehicle "veh_31" at simulation time 159285714275 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:29,985 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:29,985 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:33:30,705 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_32" received at simulation time 169571428560 ns (subscribe=true)
2025-05-28 00:33:30,705 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_33" received at simulation time 169571428560 ns (subscribe=true)
2025-05-28 00:33:30,804 INFO  SumoAmbassador - Adding new vehicle "veh_32" at simulation time 169571428560 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:30,805 INFO  SumoAmbassador - Adding new vehicle "veh_33" at simulation time 169571428560 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:31,209 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:31,209 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:33:31,642 INFO  SimulationFacade - Removed vehicle "veh_17" at simulation time 179000000000ns
2025-05-28 00:33:31,745 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_34" received at simulation time 179857142845 ns (subscribe=true)
2025-05-28 00:33:31,745 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_35" received at simulation time 179857142845 ns (subscribe=true)
2025-05-28 00:33:31,848 INFO  SumoAmbassador - Adding new vehicle "veh_34" at simulation time 179857142845 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:31,849 INFO  SumoAmbassador - Adding new vehicle "veh_35" at simulation time 179857142845 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:31,851 INFO  SimulationFacade - Removed vehicle "veh_19" at simulation time 181000000000ns
2025-05-28 00:33:31,851 INFO  SimulationFacade - Removed vehicle "veh_21" at simulation time 181000000000ns
2025-05-28 00:33:32,153 INFO  SimulationFacade - Removed vehicle "veh_23" at simulation time 184000000000ns
2025-05-28 00:33:32,250 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:32,250 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:33:32,354 INFO  SimulationFacade - Removed vehicle "veh_27" at simulation time 186000000000ns
2025-05-28 00:33:32,554 INFO  SimulationFacade - Removed vehicle "veh_25" at simulation time 188000000000ns
2025-05-28 00:33:32,752 INFO  SimulationFacade - Removed vehicle "veh_4" at simulation time 190000000000ns
2025-05-28 00:33:32,859 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_36" received at simulation time 190142857130 ns (subscribe=true)
2025-05-28 00:33:32,859 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_37" received at simulation time 190142857130 ns (subscribe=true)
2025-05-28 00:33:32,951 INFO  SumoAmbassador - Adding new vehicle "veh_36" at simulation time 190142857130 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:32,952 INFO  SumoAmbassador - Adding new vehicle "veh_37" at simulation time 190142857130 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:33,241 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:33,241 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-05-28 00:33:33,870 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_38" received at simulation time 200428571415 ns (subscribe=true)
2025-05-28 00:33:33,870 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_39" received at simulation time 200428571415 ns (subscribe=true)
2025-05-28 00:33:33,871 INFO  SimulationFacade - Removed vehicle "veh_2" at simulation time 201000000000ns
2025-05-28 00:33:33,963 INFO  SumoAmbassador - Adding new vehicle "veh_38" at simulation time 200428571415 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:33,964 INFO  SumoAmbassador - Adding new vehicle "veh_39" at simulation time 200428571415 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:34,273 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:34,273 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:33:34,276 INFO  SimulationFacade - Removed vehicle "veh_10" at simulation time 205000000000ns
2025-05-28 00:33:34,369 INFO  SimulationFacade - Removed vehicle "veh_0" at simulation time 206000000000ns
2025-05-28 00:33:34,450 INFO  SimulationFacade - Removed vehicle "veh_6" at simulation time 207000000000ns
2025-05-28 00:33:34,815 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_40" received at simulation time 210714285700 ns (subscribe=true)
2025-05-28 00:33:34,815 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_41" received at simulation time 210714285700 ns (subscribe=true)
2025-05-28 00:33:34,816 INFO  SimulationFacade - Removed vehicle "veh_8" at simulation time 211000000000ns
2025-05-28 00:33:34,886 INFO  SumoAmbassador - Adding new vehicle "veh_40" at simulation time 210714285700 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:34,887 INFO  SumoAmbassador - Adding new vehicle "veh_41" at simulation time 210714285700 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:35,058 INFO  SimulationFacade - Removed vehicle "veh_14" at simulation time 214000000000ns
2025-05-28 00:33:35,195 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:35,195 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:33:35,570 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_42" received at simulation time 220999999985 ns (subscribe=true)
2025-05-28 00:33:35,570 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_43" received at simulation time 220999999985 ns (subscribe=true)
2025-05-28 00:33:35,650 INFO  SumoAmbassador - Adding new vehicle "veh_42" at simulation time 220999999985 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:35,651 INFO  SumoAmbassador - Adding new vehicle "veh_43" at simulation time 220999999985 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:35,653 INFO  SimulationFacade - Removed vehicle "veh_29" at simulation time 222000000000ns
2025-05-28 00:33:35,725 INFO  SimulationFacade - Removed vehicle "veh_12" at simulation time 223000000000ns
2025-05-28 00:33:35,725 INFO  SimulationFacade - Removed vehicle "veh_31" at simulation time 223000000000ns
2025-05-28 00:33:35,784 INFO  SimulationFacade - Removed vehicle "veh_33" at simulation time 224000000000ns
2025-05-28 00:33:35,901 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:35,901 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:33:35,967 INFO  SimulationFacade - Removed vehicle "veh_35" at simulation time 227000000000ns
2025-05-28 00:33:36,280 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_44" received at simulation time 231285714270 ns (subscribe=true)
2025-05-28 00:33:36,280 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_45" received at simulation time 231285714270 ns (subscribe=true)
2025-05-28 00:33:36,345 INFO  SumoAmbassador - Adding new vehicle "veh_44" at simulation time 231285714270 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:36,346 INFO  SumoAmbassador - Adding new vehicle "veh_45" at simulation time 231285714270 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:36,987 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_46" received at simulation time 241571428555 ns (subscribe=true)
2025-05-28 00:33:36,987 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_47" received at simulation time 241571428555 ns (subscribe=true)
2025-05-28 00:33:37,062 INFO  SumoAmbassador - Adding new vehicle "veh_46" at simulation time 241571428555 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:37,063 INFO  SumoAmbassador - Adding new vehicle "veh_47" at simulation time 241571428555 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:37,221 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:37,221 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-05-28 00:33:37,640 INFO  SimulationFacade - Removed vehicle "veh_20" at simulation time 250000000000ns
2025-05-28 00:33:37,796 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_48" received at simulation time 251857142840 ns (subscribe=true)
2025-05-28 00:33:37,796 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_49" received at simulation time 251857142840 ns (subscribe=true)
2025-05-28 00:33:37,796 INFO  SimulationFacade - Removed vehicle "veh_18" at simulation time 252000000000ns
2025-05-28 00:33:37,866 INFO  SumoAmbassador - Adding new vehicle "veh_48" at simulation time 251857142840 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:37,867 INFO  SumoAmbassador - Adding new vehicle "veh_49" at simulation time 251857142840 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:37,869 INFO  SimulationFacade - Removed vehicle "veh_24" at simulation time 253000000000ns
2025-05-28 00:33:38,006 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:38,006 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:33:38,014 INFO  SimulationFacade - Removed vehicle "veh_28" at simulation time 255000000000ns
2025-05-28 00:33:38,083 INFO  SimulationFacade - Removed vehicle "veh_26" at simulation time 256000000000ns
2025-05-28 00:33:38,202 INFO  SimulationFacade - Removed vehicle "veh_16" at simulation time 258000000000ns
2025-05-28 00:33:38,311 INFO  SimulationFacade - Removed vehicle "veh_22" at simulation time 260000000000ns
