2025-06-06 17:30:50,079 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=2, avgRoute0VehicleCount=1.44, avgRoute1VehicleCount=1.96 (at simulation time 250.000,900,000 s)
2025-06-06 17:30:50,079 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.44, avgRoute1VehicleCount=1.96 (at simulation time 250.000,900,000 s)
2025-06-06 17:30:50,123 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=3, route1VehicleCount=3, avgRoute0VehicleCount=1.50, avgRoute1VehicleCount=2.00 (at simulation time 260.001,900,000 s)
2025-06-06 17:30:50,123 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.50, avgRoute1VehicleCount=2.00 (at simulation time 260.001,900,000 s)
2025-06-06 17:30:50,167 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=3, avgRoute0VehicleCount=1.44, avgRoute1VehicleCount=2.04 (at simulation time 270.001,400,000 s)
2025-06-06 17:30:50,167 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.44, avgRoute1VehicleCount=2.04 (at simulation time 270.001,400,000 s)
2025-06-06 17:30:50,217 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=1, avgRoute0VehicleCount=1.43, avgRoute1VehicleCount=2.00 (at simulation time 280.000,900,000 s)
2025-06-06 17:30:50,217 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.43, avgRoute1VehicleCount=2.00 (at simulation time 280.000,900,000 s)
2025-06-06 17:30:50,269 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.41, avgRoute1VehicleCount=2.07 (at simulation time 290.001,400,000 s)
2025-06-06 17:30:50,269 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.41, avgRoute1VehicleCount=2.07 (at simulation time 290.001,400,000 s)
2025-06-06 17:30:50,328 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=6, avgRoute0VehicleCount=1.40, avgRoute1VehicleCount=2.20 (at simulation time 300.001,400,000 s)
2025-06-06 17:30:50,328 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.40, avgRoute1VehicleCount=2.20 (at simulation time 300.001,400,000 s)
2025-06-06 17:30:50,401 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=2, avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.19 (at simulation time 310.001,400,000 s)
2025-06-06 17:30:50,401 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.19 (at simulation time 310.001,400,000 s)
2025-06-06 17:30:50,470 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=1, avgRoute0VehicleCount=1.34, avgRoute1VehicleCount=2.16 (at simulation time 320.000,400,000 s)
2025-06-06 17:30:50,470 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.34, avgRoute1VehicleCount=2.16 (at simulation time 320.000,400,000 s)
